RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
95,biog_addr_data,始年(月)c_fy_month,BIOG_ADDR_DATA,c_fy_month,,Integer,True,,
86,biog_addr_data,始年年代碼(c_fy_nh_code),BIOG_ADDR_DATA,c_fy_nh_code,,Integer,True,nian_hao,c_nianhao_id
88,biog_addr_data,始年年(c_fy_nh_year),BIOG_ADDR_DATA,c_fy_nh_year,,Integer,True,,
90,biog_addr_data,始年時限(c_fy_range),BIOG_ADDR_DATA,c_fy_range,,Integer,True,year_range_codes,c_range_code
82,biog_addr_data,終年(c_lastyear),BIOG_ADDR_DATA,c_lastyear,,Integer,True,,
98,biog_addr_data,終年(日)c_ly_day,BIOG_ADDR_DATA,c_ly_day,,Integer,True,,
100,biog_addr_data,終年(日干支)c_ly_day_gz,BIOG_ADDR_DATA,c_ly_day_gz,,Integer,True,GANZHI_CODES,c_ganzhi_code
94,biog_addr_data,終年(閏)c_ly_intercalary,BIOG_ADDR_DATA,c_ly_intercalary,,Binary,True,,
96,biog_addr_data,終年(月)c_ly_month,BIOG_ADDR_DATA,c_ly_month,,Integer,True,,
87,biog_addr_data,終年年代碼(c_ly_nh_code),BIOG_ADDR_DATA,c_ly_nh_code,,Integer,True,nian_hao,c_nianhao_id
89,biog_addr_data,終年年(c_ly_nh_year),BIOG_ADDR_DATA,c_ly_nh_year,,Integer,True,,
91,biog_addr_data,終年時限(c_ly_range),BIOG_ADDR_DATA,c_ly_range,,Integer,True,year_range_codes,c_range_code
,,,BIOG_ADDR_DATA,c_modified_by,,Text,True,,
,,,BIOG_ADDR_DATA,c_modified_date,,Date/Time,True,,
92,biog_addr_data,娘家地址(c_natal),BIOG_ADDR_DATA,c_natal,,Binary,True,,
85,biog_addr_data,注(c_notes),BIOG_ADDR_DATA,c_notes,,Memo,True,,
84,biog_addr_data,頁數/條目(c_pages),BIOG_ADDR_DATA,c_pages,,Text,True,,
77,biog_addr_data,c_personid,BIOG_ADDR_DATA,c_personid,Primary,Long,False,BIOG_MAIN,c_personid
