AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,FKString,FKName,skip,IndexOnField,DataFormat,NULL_allowed
ADDR_BELONGS_DATA,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,ADDR_BELONGS_ADDR_ID,1,Primary Key,Long,False
ADDR_BELONGS_DATA,c_belongs_to,ADDR_CODES,c_addr_id,c_addr_id,ADDR_BELONGS_BELONG_ID,1,Primary Key,Long,False
ADDR_BELONGS_DATA,c_source,TEXT_CODES,c_textid,c_textid,ADDR_BELONGS_TEXT_CODE,1,,Long,True
ADDR_CODES,c_admin_cat_code,ADMIN_CAT_CODES,c_admin_cat_code,c_admin_cat_code,ADDR_CODES_ADMIN_CAT_CODE,0,,Integer,True
altname_data,c_alt_name_type_code,ALTNAME_CODES,c_name_type_code,c_name_type_code,ALTNAME_DATA_ALTNAME_CODES,1,Primary Key,Integer,False
altname_data,c_personid,BIOG_MAIN,c_personid,c_personid,ALTNAME_DATA_PERSON_ID,1,Primary Key,Long,False
altname_data,c_source,TEXT_CODES,c_textid,c_textid,ALTNAME_DATA_TEXT_CODE,1,,Long,True
ASSOC_CODE_TYPE_REL,c_assoc_code,ASSOC_CODES,c_assoc_code,c_assoc_code,ASSOC_CODE_TYPE_REL_ASSOC_CODE,1,Primary Key,Integer,False
ASSOC_CODE_TYPE_REL,c_assoc_type_code,ASSOC_TYPES,c_assoc_type_code,c_assoc_type_code,ASSOC_CODE_TYPE_REL_ASSOC_TYPE,1,Primary Key,Text,False
ASSOC_CODES,c_assoc_pair2,ASSOC_CODES,c_assoc_code,c_assoc_code,ASSOC_CODES_ASSOC_PAIR,1,,Integer,True
assoc_data,c_addr_id,ADDR_CODES,c_addr_id,c_addr_id,ASSOC_DATA_ADDR_ID,1,,Long,True
assoc_data,c_assoc_claimer_id,BIOG_MAIN,c_personid,c_personid,ASSOC_DATA_CLAIMER_ID,1,,Long,True
assoc_data,c_assoc_code,ASSOC_CODES,c_assoc_code,c_assoc_code,ASSOC_DATA_ASSOC_CODE,1,Primary,Long,False
assoc_data,c_assoc_day_gz,GANZHI_CODES,c_ganzhi_code,c_ganzhi_code,ASSOC_DATA_GANZHI,1,,Integer,True
assoc_data,c_assoc_id,BIOG_MAIN,c_personid,c_personid,ASSOC_DATA_ASSOC_ID,1,Primary,Long,False
assoc_data,c_assoc_kin_code,KINSHIP_CODES,c_kincode,c_kincode,ASSOC_DATA_ASSOC_KIN_CODE,1,Primary,Long,False
