AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
MERGED_PERSON_DATA,c_modified_by,,Text,True,,
MERGED_PERSON_DATA,c_created_date,,Date/Time,True,,
MERGED_PERSON_DATA,c_modified_date,,Date/Time,True,,
NIAN_HAO,c_nianhao_id,Primary Key,Integer,True,,
NIAN_HAO,c_dy,,Integer,True,,
NIAN_HAO,c_dynasty_chn,,Text,True,,
NIAN_HAO,c_nianhao_chn,,Text,True,,
NIAN_HAO,c_nianhao_pin,,Text,True,,
NIAN_HAO,c_firstyear,,Integer,True,,
NIAN_HAO,c_lastyear,,Integer,True,,
OCCASION_CODES,c_occasion_code,Primary Key,Integer,False,,
OCCASION_CODES,c_occasion_desc,,Text,False,,
OCCASION_CODES,c_occasion_desc_chn,,Text,False,,
OCCASION_CODES,c_sortorder,,Integer,True,,
OFFICE_CATEGORIES,c_office_category_id,Primary Key,Integer,False,,
OFFICE_CATEGORIES,c_category_desc,,Text,False,,
OFFICE_CATEGORIES,c_category_desc_chn,,Text,False,,
OFFICE_CATEGORIES,c_notes,,Text,True,,
OFFICE_CODE_TYPE_REL,c_office_id,Primary Key,Long,False,,
OFFICE_CODE_TYPE_REL,c_office_tree_id,Primary Key,Text,False,,
OFFICE_CODES,c_office_id,Primary Key,Long,False,,
OFFICE_CODES,c_dy,,Integer,False,,
OFFICE_CODES,c_office_pinyin,,Text,False,,
OFFICE_CODES,c_office_chn,,Text,False,,
OFFICE_CODES,c_office_pinyin_alt,,Text,True,,
OFFICE_CODES,c_office_chn_alt,,Text,True,,
OFFICE_CODES,c_office_trans,,Text,True,,
OFFICE_CODES,c_office_trans_alt,,Text,True,,
OFFICE_CODES,c_source,,Long,True,,
OFFICE_CODES,c_pages,,Text,True,,
OFFICE_CODES,c_notes,,Memo,True,,
OFFICE_CODES,c_office_id_old,,Long,True,,
OFFICE_CODES_CONVERSION,c_office_id_backup,,Long,True,,
OFFICE_CODES_CONVERSION,c_office_chn_backup,,Text,True,,
OFFICE_CODES_CONVERSION,c_office_id,,Long,True,,
OFFICE_CODES_CONVERSION,c_office_chn,,Text,True,,
OFFICE_TYPE_TREE,c_office_type_node_id,Primary Key,Text,False,,
OFFICE_TYPE_TREE,c_office_type_desc,,Text,False,,
OFFICE_TYPE_TREE,c_office_type_desc_chn,,Text,False,,
OFFICE_TYPE_TREE,c_parent_id,,Text,True,,
OFFICE_TYPE_TREE_backup,c_office_type_node_id,Primary Key,Text,True,,
OFFICE_TYPE_TREE_backup,c_tts_node_id,,Text,True,,
OFFICE_TYPE_TREE_backup,c_office_type_desc,,Text,True,,
OFFICE_TYPE_TREE_backup,c_office_type_desc_chn,,Text,True,,
OFFICE_TYPE_TREE_backup,c_parent_id,,Text,True,,
PARENTAL_STATUS_CODES,c_parental_status_code,Primary Key,Integer,False,,
PARENTAL_STATUS_CODES,c_parental_status_desc,,Text,False,,
PARENTAL_STATUS_CODES,c_parental_status_desc_chn,,Text,False,,
Paste Errors,c_textid,,Long,True,,
Paste Errors,c_title_chn,,Text,True,,
Paste Errors,c_title,,Text,True,,
Paste Errors,c_title_trans,,Text,True,,
Paste Errors,c_text_type_id,,Text,True,,
Paste Errors,c_text_year,,Long,True,,
Paste Errors,c_text_nh_code,,Long,True,,
Paste Errors,c_text_nh_year,,Long,True,,
Paste Errors,c_text_range_code,,Long,True,,
Paste Errors,c_bibl_cat_code,,Long,True,,
Paste Errors,c_extant,,Long,True,,
Paste Errors,c_text_country,,Long,True,,
Paste Errors,c_text_dy,,Long,True,,
Paste Errors,c_source,,Long,True,,
Paste Errors,c_pages,,Text,True,,
Paste Errors,c_url_api,,Text,True,,
Paste Errors,c_url_api_coda,,Text,True,,
Paste Errors,c_url_homepage,,Text,True,,
Paste Errors,c_notes,,Memo,True,,
Paste Errors,c_title_alt_chn,,Text,True,,
Paste Errors,c_created_by,,Text,True,,
Paste Errors,c_modified_by,,Text,True,,
Paste Errors,c_created_date,,Date/Time,True,,
Paste Errors,c_modified_date,,Date/Time,True,,
POSSESSION_ACT_CODES,c_possession_act_code,Primary Key,Integer,False,,
POSSESSION_ACT_CODES,c_possession_act_desc,,Text,False,,
POSSESSION_ACT_CODES,c_possession_act_desc_chn,,Text,False,,
POSSESSION_ADDR,c_possession_record_id,Primary Key,Long,True,,
POSSESSION_ADDR,c_personid,Primary Key,Long,True,,
POSSESSION_ADDR,c_addr_id,Primary Key,Long,True,,
POSSESSION_DATA,c_personid,,Long,False,,
POSSESSION_DATA,c_possession_record_id,Primary Key,Long,False,,
POSSESSION_DATA,c_sequence,,Long,True,,
POSSESSION_DATA,c_possession_act_code,,Integer,False,,
POSSESSION_DATA,c_possession_desc,,Text,True,,
POSSESSION_DATA,c_possession_desc_chn,,Text,True,,
POSSESSION_DATA,c_quantity,,Text,True,,
POSSESSION_DATA,c_measure_code,,Integer,True,,
POSSESSION_DATA,c_possession_yr,,Integer,True,,
POSSESSION_DATA,c_possession_nh_code,,Integer,True,,
POSSESSION_DATA,c_possession_nh_yr,,Integer,True,,
POSSESSION_DATA,c_possession_yr_range,,Integer,True,,
POSSESSION_DATA,c_addr_id,,Long,True,,
POSSESSION_DATA,c_source,,Long,True,,
POSSESSION_DATA,c_pages,,Text,True,,
POSSESSION_DATA,c_notes,,Memo,True,,
POSSESSION_DATA,c_created_by,,Text,True,,
POSSESSION_DATA,c_modified_by,,Text,True,,
POSSESSION_DATA,c_created_date,,Date/Time,True,,
POSSESSION_DATA,c_modified_date,,Date/Time,True,,
POSTED_TO_ADDR_DATA,c_posting_id,Primary Key,Long,False,,
POSTED_TO_ADDR_DATA,c_personid,,Long,True,,
POSTED_TO_ADDR_DATA,c_office_id,Primary Key,Long,False,,
POSTED_TO_ADDR_DATA,c_addr_id,Primary Key,Long,False,,
POSTED_TO_ADDR_DATA,c_created_by,,Text,True,,
POSTED_TO_ADDR_DATA,c_modified_by,,Text,True,,
POSTED_TO_ADDR_DATA,c_created_date,,Date/Time,True,,
POSTED_TO_ADDR_DATA,c_modified_date,,Date/Time,True,,
POSTED_TO_OFFICE_DATA,c_personid,,Long,True,,
POSTED_TO_OFFICE_DATA,c_office_id,Primary Key,Long,False,,
POSTED_TO_OFFICE_DATA,c_posting_id,Primary Key,Long,False,,
POSTED_TO_OFFICE_DATA,c_posting_id_old,,Long,True,,
POSTED_TO_OFFICE_DATA,c_sequence,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_firstyear,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_fy_nh_code,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_fy_nh_year,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_fy_range,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_lastyear,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_ly_nh_code,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_ly_nh_year,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_ly_range,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_appt_code,,Integer,False,,
POSTED_TO_OFFICE_DATA,c_assume_office_code,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_inst_code,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_inst_name_code,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_source,,Long,True,,
POSTED_TO_OFFICE_DATA,c_pages,,Text,True,,
POSTED_TO_OFFICE_DATA,c_notes,,Memo,True,,
POSTED_TO_OFFICE_DATA,c_office_id_backup,,Long,True,,
POSTED_TO_OFFICE_DATA,c_office_category_id,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_fy_intercalary,,Yes/No,True,,
POSTED_TO_OFFICE_DATA,c_fy_month,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_ly_intercalary,,Yes/No,True,,
POSTED_TO_OFFICE_DATA,c_ly_month,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_fy_day,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_ly_day,,Long,True,,
POSTED_TO_OFFICE_DATA,c_fy_day_gz,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_ly_day_gz,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_dy,,Integer,True,,
POSTED_TO_OFFICE_DATA,c_created_by,,Text,True,,
POSTED_TO_OFFICE_DATA,c_modified_by,,Text,True,,
POSTED_TO_OFFICE_DATA,c_created_date,,Date/Time,True,,
POSTED_TO_OFFICE_DATA,c_modified_date,,Date/Time,True,,
POSTING_DATA,c_personid,,Long,False,,
POSTING_DATA,c_posting_id,Primary Key,Long,False,,
POSTING_DATA,c_posting_id_old,,Long,True,,
POSTING_DATA,c_created_by,,Text,True,,
POSTING_DATA,c_modified_by,,Text,True,,
POSTING_DATA,c_created_date,,Date/Time,True,,
POSTING_DATA,c_modified_date,,Date/Time,True,,
SCHOLARLYTOPIC_CODES,c_topic_code,Primary Key,Long,False,,
SCHOLARLYTOPIC_CODES,c_topic_desc,,Text,False,,
SCHOLARLYTOPIC_CODES,c_topic_desc_chn,,Text,False,,
SCHOLARLYTOPIC_CODES,c_topic_type_code,,Long,True,,
SCHOLARLYTOPIC_CODES,c_topic_type_desc,,Text,True,,
SCHOLARLYTOPIC_CODES,c_topic_type_desc_chn,,Text,True,,
SCHOLARLYTOPIC_CODES,c_sortorder,,Long,True,,
SOCIAL_INSTITUTION_ADDR,c_inst_name_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_ADDR,c_inst_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_ADDR,c_inst_addr_type_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_ADDR,c_inst_addr_begin_year,,Integer,True,,
SOCIAL_INSTITUTION_ADDR,c_inst_addr_end_year,,Integer,True,,
SOCIAL_INSTITUTION_ADDR,c_inst_addr_id,Primary Key,Long,False,,
SOCIAL_INSTITUTION_ADDR,inst_xcoord,Primary Key,Double,False,,
SOCIAL_INSTITUTION_ADDR,inst_ycoord,Primary Key,Double,False,,
SOCIAL_INSTITUTION_ADDR,c_source,,Long,True,,
SOCIAL_INSTITUTION_ADDR,c_pages,,Text,True,,
SOCIAL_INSTITUTION_ADDR,c_notes,,Memo,True,,
SOCIAL_INSTITUTION_ADDR_TYPES,c_inst_addr_type_code,Primary Key,Integer,True,,
SOCIAL_INSTITUTION_ADDR_TYPES,c_inst_addr_type_desc,,Text,True,,
SOCIAL_INSTITUTION_ADDR_TYPES,c_inst_addr_type_chn,,Text,True,,
SOCIAL_INSTITUTION_ADDR_TYPES,c_notes,,Text,True,,
SOCIAL_INSTITUTION_ALTNAME_CODES,c_inst_altname_type,Primary Key,Integer,True,,
SOCIAL_INSTITUTION_ALTNAME_CODES,c_inst_altname_desc,,Text,True,,
SOCIAL_INSTITUTION_ALTNAME_CODES,c_inst_altname_chn,,Text,True,,
SOCIAL_INSTITUTION_ALTNAME_CODES,c_notes,,Text,True,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_inst_name_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_inst_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_inst_altname_type,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_inst_altname_hz,Primary Key,Text,False,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_inst_altname_py,,Text,True,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_source,,Long,True,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_pages,,Text,True,,
SOCIAL_INSTITUTION_ALTNAME_DATA,c_notes,,Memo,True,,
SOCIAL_INSTITUTION_CODES,c_inst_name_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_CODES,c_inst_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_CODES,c_inst_type_code,,Integer,False,,
SOCIAL_INSTITUTION_CODES,c_inst_begin_year,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_by_nianhao_code,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_by_nianhao_year,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_by_year_range,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_inst_begin_dy,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_inst_floruit_dy,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_inst_first_known_year,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_inst_end_year,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_ey_nianhao_code,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_ey_nianhao_year,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_ey_year_range,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_inst_end_dy,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_inst_last_known_year,,Integer,True,,
SOCIAL_INSTITUTION_CODES,c_source,,Long,True,,
SOCIAL_INSTITUTION_CODES,c_pages,,Text,True,,
SOCIAL_INSTITUTION_CODES,c_notes,,Memo,True,,
SOCIAL_INSTITUTION_CODES_CONVERSION,c_inst_name_code,Primary Key,Integer,True,,
SOCIAL_INSTITUTION_CODES_CONVERSION,c_inst_code,Primary Key,Long,True,,
SOCIAL_INSTITUTION_CODES_CONVERSION,c_inst_code_new,,Integer,True,,
SOCIAL_INSTITUTION_CODES_CONVERSION,c_new_new_code,,Long,True,,
SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_hz,,Text,False,,
SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_py,,Text,False,,
SOCIAL_INSTITUTION_TYPES,c_inst_type_code,Primary Key,Integer,False,,
SOCIAL_INSTITUTION_TYPES,c_inst_type_py,,Text,False,,
SOCIAL_INSTITUTION_TYPES,c_inst_type_hz,,Text,False,,
STATUS_CODE_TYPE_REL,c_status_code,Primary Key,Integer,True,,
STATUS_CODE_TYPE_REL,c_status_type_code,Primary Key,Text,True,,
STATUS_CODES,c_status_code,Primary Key,Integer,False,,
STATUS_CODES,c_status_desc,,Text,False,,
STATUS_CODES,c_status_desc_chn,,Text,False,,
STATUS_DATA,c_personid,Primary Key,Long,False,,
STATUS_DATA,c_sequence,Primary Key,Long,False,,
STATUS_DATA,c_status_code,Primary Key,Integer,False,,
STATUS_DATA,c_firstyear,,Integer,True,,
STATUS_DATA,c_fy_nh_code,,Integer,True,,
STATUS_DATA,c_fy_nh_year,,Integer,True,,
STATUS_DATA,c_fy_range,,Integer,True,,
STATUS_DATA,c_lastyear,,Integer,True,,
STATUS_DATA,c_ly_nh_code,,Integer,True,,
STATUS_DATA,c_ly_nh_year,,Integer,True,,
STATUS_DATA,c_ly_range,,Integer,True,,
STATUS_DATA,c_supplement,,Text,True,,
STATUS_DATA,c_source,,Long,True,,
STATUS_DATA,c_pages,,Text,True,,
STATUS_DATA,c_notes,,Memo,True,,
STATUS_DATA,c_created_by,,Text,True,,
STATUS_DATA,c_modified_by,,Text,True,,
STATUS_DATA,c_created_date,,Date/Time,True,,
STATUS_DATA,c_modified_date,,Date/Time,True,,
STATUS_TYPES,c_status_type_code,Primary Key,Text,False,,
STATUS_TYPES,c_status_type_desc,,Text,False,,
STATUS_TYPES,c_status_type_chn,,Text,False,,
STATUS_TYPES,c_status_type_parent_code,,Text,True,,
TablesFields,RowNum,,Long,True,,
TablesFields,DumpTblNm,,Text,True,,
TablesFields,DumpFldNm,,Text,True,,
TablesFields,AccessTblNm,Primary Key,Text,False,,
TablesFields,AccessFldNm,Primary Key,Text,False,,
TablesFields,IndexOnField,,Text,True,,
TablesFields,DataFormat,,Text,True,,
TablesFields,NULL_allowed,,Yes/No,True,,
TablesFields,ForeignKey,,Text,True,,
TablesFields,ForeignKeyBaseField,,Text,True,,
TablesFieldsChanges,TableName,Primary Key,Text,True,,
TablesFieldsChanges,FieldName,Primary Key,Text,True,,
TablesFieldsChanges,Change,Primary Key,Text,True,,
TablesFieldsChanges,ChangeDate,,Text,True,,
TablesFieldsChanges,ChangeNotes,,Text,True,,
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_code,Primary Key,Integer,True,,
TEXT_BIBLCAT_CODE_TYPE_REL,c_text_cat_type_id,Primary Key,Text,True,,
TEXT_BIBLCAT_CODES,c_text_cat_code,Primary Key,Integer,False,,
TEXT_BIBLCAT_CODES,c_text_cat_desc,,Text,False,,
TEXT_BIBLCAT_CODES,c_text_cat_desc_chn,,Text,False,,
TEXT_BIBLCAT_CODES,c_text_cat_pinyin,,Text,False,,
TEXT_BIBLCAT_CODES,c_text_cat_parent_id,,Text,True,,
TEXT_BIBLCAT_CODES,c_text_cat_level,,Text,True,,
TEXT_BIBLCAT_CODES,c_text_cat_sortorder,,Integer,True,,
TEXT_BIBLCAT_TYPES,c_text_cat_type_id,Primary Key,Text,True,,
TEXT_BIBLCAT_TYPES,c_text_cat_type_desc,,Text,True,,
TEXT_BIBLCAT_TYPES,c_text_cat_type_desc_chn,,Text,True,,
TEXT_BIBLCAT_TYPES,c_text_cat_type_parent_id,,Text,True,,
TEXT_BIBLCAT_TYPES,c_text_cat_type_level,,Integer,True,,
TEXT_BIBLCAT_TYPES,c_text_cat_type_sortorder,,Integer,True,,
TEXT_CODES,c_textid,Primary Key,Long,False,,
TEXT_CODES,c_title_chn,,Text,False,,
TEXT_CODES,c_suffix_version,,Text,True,,
TEXT_CODES,c_title,,Text,True,,
TEXT_CODES,c_title_trans,,Text,True,,
TEXT_CODES,c_text_type_id,,Text,True,,
TEXT_CODES,c_text_year,,Integer,True,,
TEXT_CODES,c_text_nh_code,,Integer,True,,
TEXT_CODES,c_text_nh_year,,Integer,True,,
TEXT_CODES,c_text_range_code,,Integer,True,,
TEXT_CODES,c_period,,Text,True,,
TEXT_CODES,c_bibl_cat_code,,Integer,True,,
TEXT_CODES,c_extant,,Integer,True,,
TEXT_CODES,c_text_country,,Integer,True,,
TEXT_CODES,c_text_dy,,Integer,True,,
TEXT_CODES,c_source,,Long,True,,
TEXT_CODES,c_pages,,Text,True,,
TEXT_CODES,c_url_api,,Text,True,,
TEXT_CODES,c_url_api_coda,,Text,True,,
TEXT_CODES,c_url_homepage,,Text,True,,
TEXT_CODES,c_notes,,Memo,True,,
TEXT_CODES,c_number,,Text,True,,
TEXT_CODES,c_counter,,Text,True,,
TEXT_CODES,c_title_alt_chn,,Text,True,,
TEXT_CODES,c_created_by,,Text,True,,
TEXT_CODES,c_modified_by,,Text,True,,
TEXT_CODES,c_created_date,,Date/Time,True,,
TEXT_CODES,c_modified_date,,Date/Time,True,,
TEXT_INSTANCE_DATA,c_textid,Primary Key,Long,False,,
TEXT_INSTANCE_DATA,c_text_edition_id,Primary Key,Integer,False,,
TEXT_INSTANCE_DATA,c_text_instance_id,Primary Key,Integer,False,,
TEXT_INSTANCE_DATA,c_instance_title_chn,,Text,True,,
TEXT_INSTANCE_DATA,c_instance_title,,Text,True,,
TEXT_INSTANCE_DATA,c_instance_title_trans,,Text,True,,
TEXT_INSTANCE_DATA,c_part_of_instance,,Long,True,,
TEXT_INSTANCE_DATA,c_part_of_instance_notes,,Text,True,,
TEXT_INSTANCE_DATA,c_pub_country,,Integer,True,,
TEXT_INSTANCE_DATA,c_pub_dy,,Integer,True,,
TEXT_INSTANCE_DATA,c_pub_year,,Integer,True,,
TEXT_INSTANCE_DATA,c_pub_nh_code,,Integer,True,,
TEXT_INSTANCE_DATA,c_pub_nh_year,,Long,True,,
TEXT_INSTANCE_DATA,c_pub_range_code,,Integer,True,,
TEXT_INSTANCE_DATA,c_pub_loc,,Text,True,,
TEXT_INSTANCE_DATA,c_publisher,,Text,True,,
TEXT_INSTANCE_DATA,c_print,,Text,True,,
TEXT_INSTANCE_DATA,c_pub_notes,,Text,True,,
TEXT_INSTANCE_DATA,c_source,,Long,True,,
TEXT_INSTANCE_DATA,c_pages,,Text,True,,
TEXT_INSTANCE_DATA,c_extant,,Integer,True,,
TEXT_INSTANCE_DATA,c_url_api,,Text,True,,
TEXT_INSTANCE_DATA,c_url_homepage,,Text,True,,
TEXT_INSTANCE_DATA,c_notes,,Memo,True,,
TEXT_INSTANCE_DATA,c_number,,Text,True,,
TEXT_INSTANCE_DATA,c_counter,,Text,True,,
TEXT_INSTANCE_DATA,c_title_alt_chn,,Text,True,,
TEXT_INSTANCE_DATA,c_created_by,,Text,True,,
TEXT_INSTANCE_DATA,c_modified_by,,Text,True,,
TEXT_INSTANCE_DATA,c_created_date,,Date/Time,True,,
TEXT_INSTANCE_DATA,c_modified_date,,Date/Time,True,,
TEXT_ROLE_CODES,c_role_id,Primary Key,Integer,False,,
TEXT_ROLE_CODES,c_role_desc,,Text,False,,
TEXT_ROLE_CODES,c_role_desc_chn,,Text,False,,
TEXT_TYPE,c_text_type_code,Primary Key,Text,False,,
TEXT_TYPE,c_text_type_desc,,Text,False,,
TEXT_TYPE,c_text_type_desc_chn,,Text,False,,
TEXT_TYPE,c_text_type_parent_id,,Text,True,,
TEXT_TYPE,c_text_type_level,,Integer,False,,
TEXT_TYPE,c_text_type_sortorder,,Integer,True,,
TMP_ADDR_A,c_addr_id,,Long,True,,
TMP_ADDR_A,c_name,,Text,True,,
TMP_ADDR_A,c_name_chn,,Text,True,,
TMP_ADDR_A,c_firstyear,,Integer,True,,
TMP_ADDR_A,c_lastyear,,Integer,True,,
TMP_ADDR_A,c_admin_type,,Text,True,,
TMP_ADDR_A,x_coord,,Double,True,,
TMP_ADDR_A,y_coord,,Double,True,,
TMP_ADDR_A,c_belongs_to,,Long,True,,
TMP_ADDR_A,c_belongs_first_year,,Integer,True,,
TMP_ADDR_A,c_belongs_last_year,,Integer,True,,
TMP_ADDR_A,c_belongs_unit_first_year,,Long,True,,
TMP_ADDR_A,c_belongs_unit_last_year,,Long,True,,
TMP_ADDR_A,c_delete,,Long,True,,
TMP_ADDR_B,c_addr_id,,Long,True,,
TMP_ADDR_B,c_name,,Text,True,,
TMP_ADDR_B,c_name_chn,,Text,True,,
TMP_ADDR_B,c_firstyear,,Integer,True,,
TMP_ADDR_B,c_lastyear,,Integer,True,,
TMP_ADDR_B,c_admin_type,,Text,True,,
TMP_ADDR_B,x_coord,,Double,True,,
TMP_ADDR_B,y_coord,,Double,True,,
TMP_ADDR_B,c_belongs_to,,Long,True,,
TMP_ADDR_B,c_belongs_name,,Text,True,,
TMP_ADDR_B,c_belongs_chn,,Text,True,,
TMP_ADDR_B,c_belongs_first_year,,Integer,True,,
TMP_ADDR_B,c_belongs_last_year,,Integer,True,,
TMP_ADDR_B,c_del,,Long,True,,
TMP_ADDR_BELONGS,c_addr_id,,Long,True,,
TMP_ADDR_BELONGS,c_name,,Text,True,,
TMP_ADDR_BELONGS,c_name_chn,,Text,True,,
TMP_ADDR_BELONGS,c_admin_type,,Text,True,,
TMP_ADDR_BELONGS,c_firstyear,,Integer,True,,
TMP_ADDR_BELONGS,c_lastyear,,Integer,True,,
TMP_ADDR_BELONGS,x_coord,,Double,True,,
TMP_ADDR_BELONGS,y_coord,,Double,True,,
TMP_ADDR_BELONGS,belongs_to_ID,,Long,True,,
TMP_ADDR_BELONGS,belongs_to_py,,Text,True,,
TMP_ADDR_BELONGS,belongs_to_chn,,Text,True,,
TMP_ADDR_C,c_addr_id,,Long,True,,
TMP_ADDR_C,c_name,,Text,True,,
TMP_ADDR_C,c_name_chn,,Text,True,,
TMP_ADDR_C,c_firstyear,,Integer,True,,
TMP_ADDR_C,c_lastyear,,Integer,True,,
TMP_ADDR_C,c_admin_type,,Text,True,,
TMP_ADDR_C,x_coord,,Double,True,,
TMP_ADDR_C,y_coord,,Double,True,,
TMP_ADDR_C,Max_c_belongs_last_year,,Integer,True,,
TMP_ADDR_C,Min_c_belongs_first_year,,Integer,True,,
TMP_ADDR_D,c_addr_id,,Long,True,,
TMP_ADDR_D,c_addr_cbd,,Text,True,,
TMP_ADDR_D,c_name,,Text,True,,
TMP_ADDR_D,c_name_chn,,Text,True,,
TMP_ADDR_D,c_admin_type,,Text,True,,
TMP_ADDR_D,c_firstyear,,Integer,True,,
TMP_ADDR_D,c_lastyear,,Integer,True,,
TMP_ADDR_D,x_coord,,Double,True,,
TMP_ADDR_D,y_coord,,Double,True,,
TMP_ADDR_D,belongs_first_year,,Integer,True,,
TMP_ADDR_D,belongs_last_year,,Integer,True,,
TMP_ADDR_D,belongs1_ID,,Long,True,,
TMP_ADDR_D,belongs1_Name,,Text,True,,
TMP_ADDR_D,belongs1_Name_chn,,Text,True,,
TMP_ADDR_D,belongs1_first_year,,Integer,True,,
TMP_ADDR_D,belongs1_last_year,,Integer,True,,
TMP_ADDR_D,belongs2_ID,,Long,True,,
TMP_ADDR_D,belongs2_Name,,Text,True,,
TMP_ADDR_D,belongs2_Name_chn,,Text,True,,
TMP_ADDR_D,belongs2_first_year,,Integer,True,,
TMP_ADDR_D,belongs2_last_year,,Integer,True,,
TMP_ADDR_D,belongs3_ID,,Long,True,,
TMP_ADDR_D,belongs3_Name,,Text,True,,
TMP_ADDR_D,belongs3_Name_chn,,Text,True,,
TMP_ADDR_D,belongs3_first_year,,Integer,True,,
TMP_ADDR_D,belongs3_last_year,,Integer,True,,
TMP_ADDR_D,belongs4_ID,,Long,True,,
TMP_ADDR_D,belongs4_Name,,Text,True,,
TMP_ADDR_D,belongs4_Name_chn,,Text,True,,
TMP_ADDR_D,belongs4_first_year,,Integer,True,,
TMP_ADDR_D,belongs4_last_year,,Integer,True,,
TMP_ADDR_D,belongs5_ID,,Long,True,,
TMP_ADDR_D,belongs5_Name,,Text,True,,
TMP_ADDR_D,belongs5_Name_chn,,Text,True,,
TMP_ADDR_D,belongs5_first_year,,Integer,True,,
TMP_ADDR_D,belongs5_last_year,,Integer,True,,
TMP_ADDR_D,c_delete,,Integer,True,,
TMP_ADDR_E,c_addr_id,,Long,True,,
TMP_ADDR_E,c_addr_cbd,,Text,True,,
TMP_ADDR_E,c_name,,Text,True,,
TMP_ADDR_E,c_name_chn,,Text,True,,
TMP_ADDR_E,c_admin_type,,Text,True,,
TMP_ADDR_E,c_firstyear,,Integer,True,,
TMP_ADDR_E,c_lastyear,,Integer,True,,
TMP_ADDR_E,x_coord,,Double,True,,
TMP_ADDR_E,y_coord,,Double,True,,
TMP_ADDR_E,belongs_first_year,,Integer,True,,
TMP_ADDR_E,belongs_last_year,,Integer,True,,
TMP_ADDR_E,belongs1_ID,,Long,True,,
TMP_ADDR_E,belongs1_Name,,Text,True,,
TMP_ADDR_E,belongs1_Name_chn,,Text,True,,
TMP_ADDR_E,belongs1_first_year,,Integer,True,,
TMP_ADDR_E,belongs1_last_year,,Integer,True,,
TMP_ADDR_E,belongs2_ID,,Long,True,,
TMP_ADDR_E,belongs2_Name,,Text,True,,
TMP_ADDR_E,belongs2_Name_chn,,Text,True,,
TMP_ADDR_E,belongs2_first_year,,Integer,True,,
TMP_ADDR_E,belongs2_last_year,,Integer,True,,
TMP_ADDR_E,belongs3_ID,,Long,True,,
TMP_ADDR_E,belongs3_Name,,Text,True,,
TMP_ADDR_E,belongs3_Name_chn,,Text,True,,
TMP_ADDR_E,belongs3_first_year,,Integer,True,,
TMP_ADDR_E,belongs3_last_year,,Integer,True,,
TMP_ADDR_E,belongs4_ID,,Long,True,,
TMP_ADDR_E,belongs4_Name,,Text,True,,
TMP_ADDR_E,belongs4_Name_chn,,Text,True,,
TMP_ADDR_E,belongs4_first_year,,Integer,True,,
TMP_ADDR_E,belongs4_last_year,,Integer,True,,
TMP_ADDR_E,belongs5_ID,,Long,True,,
TMP_ADDR_E,belongs5_Name,,Text,True,,
TMP_ADDR_E,belongs5_Name_chn,,Text,True,,
