AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,RelationName
BIOG_TEXT_DATA,c_nh_code,NIAN_HAO,c_nianhao_id,BIOG_TEXT_DATA_NIAN_HAO
BIOG_TEXT_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_TEXT_DATA_PERSON_ID
BIOG_TEXT_DATA,c_range_code,YEAR_RANGE_CODES,c_range_code,BIOG_TEXT_DATA_YEAR_RANGE_CODE
BIOG_TEXT_DATA,c_role_id,TEXT_ROLE_CODES,c_role_id,BIOG_TEXT_DATA_TEXT_ROLE_CODE
BIOG_TEXT_DATA,c_source,TEXT_CODES,c_textid,BIOG_TEXT_DATA_SOURCE_TEXT_ID
BIOG_TEXT_DATA,c_textid,TEXT_CODES,c_textid,BIOG_TEXT_DATA_TEXT_ID
ENTRY_CODE_TYPE_REL,c_entry_code,ENTRY_CODES,c_entry_code,ENTRY_CODESENTRY_CODE_TYPE_REL
ENTRY_CODE_TYPE_REL,c_entry_type,ENTRY_TYPES,c_entry_type,ENTRY TYPESENTRY CODE_TYPE REL
ENTRY_DATA,c_assoc_code,ASSOC_CODES,c_assoc_code,ASSOC_CODESENTRY_DATA
ENTRY_DATA,c_assoc_id,BIOG_MAIN,c_personid,BIOG_MAINENTRY_DATA2
ENTRY_DATA,c_entry_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESENTRY_DATA1
ENTRY_DATA,c_entry_code,ENTRY_CODES,c_entry_code,ENTRY_CODESENTRY_DATA
ENTRY_DATA,c_entry_nh_id,NIAN_HAO,c_nianhao_id,NIAN_HAOENTRY_DATA
ENTRY_DATA,c_entry_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESENTRY_DATA
ENTRY_DATA,c_kin_code,KINSHIP_CODES,c_kincode,KINSHIP_CODESENTRY_DATA
ENTRY_DATA,c_kin_id,BIOG_MAIN,c_personid,BIOG_MAINENTRY_DATA1
ENTRY_DATA,c_parental_status_code,PARENTAL_STATUS_CODES,c_parental_status_code,PARENTAL_STATUS_CODESENTRY_DATA
ENTRY_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINENTRY_DATA
ENTRY_DATA,c_source,TEXT_CODES,c_textid,TEXT_CODESENTRY_DATA1
EVENTS_ADDR,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESEVENTS_ADDR1
EVENTS_ADDR,c_day_ganzhi,GANZHI_CODES,c_ganzhi_code,GANZHI_CODESEVENTS_ADDR
EVENTS_ADDR,c_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOEVENTS_ADDR1
